time="2019-12-08T15:35:41+08:00" level=debug msg="start main"
time="2019-12-08T15:35:41+08:00" level=debug msg="rabbitmq "
time="2019-12-08T15:35:41+08:00" level=debug msg="dial url [amqp://test:test@192.168.1.110:5672]"
time="2019-12-08T15:35:41+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:35:46+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:35:51+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:35:56+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:01+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:06+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:11+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:16+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:21+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:26+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:31+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:36+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:41+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:46+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:51+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:56+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:01+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:06+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:11+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:16+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:21+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:26+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:31+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:36+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:41+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:46+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:51+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:56+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:01+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:06+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:11+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:16+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:21+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:26+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:31+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:36+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:41+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:46+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:51+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:56+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:01+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:06+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:11+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:16+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:21+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:26+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:31+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:36+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:41+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:46+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:51+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:56+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:40:01+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:40:06+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
rt beat","time":"2019-12-08T15:34:10+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:34:15+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:34:20+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:34:25+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:34:30+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:34:35+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:34:40+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:34:45+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:34:50+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:34:55+08:00"}
":"2019-12-08T15:14:31+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:14:36+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:14:41+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:14:46+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:14:51+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:14:56+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:15:01+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:15:06+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:15:11+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:15:16+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:15:21+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:15:26+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:15:31+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:15:36+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:15:41+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:15:46+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:15:51+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:15:56+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:16:01+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:16:06+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:16:11+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:16:16+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:16:21+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:16:26+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:16:31+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:16:36+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:16:41+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:16:46+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:16:51+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:16:56+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:17:01+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:17:06+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:17:11+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:17:16+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:17:21+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:17:26+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:17:31+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:17:36+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:17:41+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:17:46+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:17:51+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:17:56+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:18:01+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:18:06+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:18:11+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:18:16+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:18:21+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:18:26+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:18:31+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:18:36+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:18:41+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:18:46+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:18:51+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:18:56+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:19:01+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:19:06+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:19:11+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:19:16+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:19:21+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:19:26+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:19:31+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:19:36+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:19:41+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:19:46+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:19:51+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:19:56+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:20:01+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:20:06+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:20:11+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:20:16+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:20:21+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:20:26+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:20:31+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:20:36+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:20:41+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:20:46+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:20:51+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:20:56+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:21:01+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:21:06+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:21:11+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:21:16+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:21:21+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:21:26+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:21:31+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:21:36+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:21:41+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:21:46+08:00"}
